dataset_ID,interval,spikes
0,1167,14010
0,1168,11480
0,1169,8516
0,1170,12053
7,1171,5462
7,1172,7079
7,1173,12861
7,1174,9218
7,1175,11137
7,1176,80360
7,1177,87684
7,1178,78251
7,1179,76618
7,1180,7615
7,1181,4993
7,1182,8712
7,1183,10428
7,1184,9082
7,1185,7815
7,1186,11223
7,1187,9933
7,1188,34925
7,1189,102265
7,1190,10828
7,1191,13321
7,1192,38897
7,1193,19828
7,1194,11690
7,1195,12409
7,1196,17123
7,1197,9805
7,1198,16595
7,1199,14372
7,1200,15634
7,1201,5462
7,1202,7079
7,1203,12861
7,1204,9218
7,1205,11137
7,1206,80360
7,1207,87684
7,1208,78251
7,1209,76618
7,1210,7615
7,1211,4993
7,1212,8712
7,1213,10428
7,1214,9082
7,1215,7815
7,1216,11223
7,1217,9933
7,1218,34925
7,1219,102265
7,1220,10828
7,1221,13321
7,1222,38897
7,1223,19828
7,1224,11690
7,1225,12409
7,1226,17123
7,1227,9805
7,1228,16595
7,1229,14372
7,1230,15634
0,1231,5950
0,1232,7132
0,1233,24436
0,1234,14017
0,1235,8748
0,1236,102580
0,1237,115106
0,1238,77393
0,1239,54874
0,1240,12815
0,1241,7866
0,1242,5344
0,1243,8528
0,1244,7001
0,1245,10214
0,1246,11318
0,1247,16039
0,1248,16228
0,1249,109570
0,1250,10616
0,1251,9551
0,1252,48411
0,1253,18143
0,1254,15951
0,1255,14500
0,1256,11074
0,1257,14010
0,1258,11480
0,1259,8516
0,1260,12053
5,1261,6062
5,1262,10732
5,1263,7970
5,1264,11341
5,1265,13649
5,1266,76261
5,1267,124955
5,1268,70800
5,1269,67544
5,1270,9228
5,1271,6442
5,1272,8643
5,1273,14095
5,1274,12238
5,1275,13011
5,1276,15372
5,1277,13731
5,1278,28134
5,1279,80686
5,1280,14231
5,1281,17189
5,1282,46208
5,1283,11530
5,1284,10312
5,1285,9399
5,1286,9397
5,1287,17658
