dataset_ID,interval,attack,spikes,class,differenceSpikes_1
5,3956,FLO,9351,0,-49
5,3957,FLO,17711,0,8360
5,3958,FLO,9441,0,-8270
5,3959,FLO,12714,0,3273
5,3960,FLO,17375,0,4661
7,3961,FLO,5462,0,-11913
7,3962,FLO,7079,0,1617
7,3963,FLO,12861,0,5782
7,3964,FLO,9218,0,-3643
7,3965,FLO,11137,0,1919
7,3966,FLO,80360,0,69223
7,3967,FLO,109553,1,29193
7,3968,FLO,78483,0,-31070
7,3969,FLO,76699,0,-1784
7,3970,FLO,7665,0,-69034
7,3971,FLO,4969,0,-2696
7,3972,FLO,8722,0,3753
7,3973,FLO,10390,0,1668
7,3974,FLO,8979,0,-1411
7,3975,FLO,7807,0,-1172
7,3976,FLO,11147,0,3340
7,3977,FLO,9966,0,-1181
7,3978,FLO,34967,0,25001
7,3979,FLO,102224,0,67257
7,3980,FLO,10815,0,-91409
7,3981,FLO,13312,0,2497
7,3982,FLO,38942,0,25630
7,3983,FLO,19998,0,-18944
7,3984,FLO,11638,0,-8360
7,3985,FLO,12469,0,831
7,3986,FLO,17079,0,4610
7,3987,FLO,9810,0,-7269
7,3988,FLO,16521,0,6711
7,3989,FLO,14473,0,-2048
7,3990,FLO,15582,0,1109
5,3991,Spontaneous,6062,0,-9520
5,3992,Spontaneous,10732,0,4670
5,3993,Spontaneous,7970,0,-2762
5,3994,Spontaneous,11341,0,3371
5,3995,Spontaneous,13649,0,2308
5,3996,Spontaneous,76261,0,62612
5,3997,Spontaneous,124955,0,48694
5,3998,Spontaneous,70800,0,-54155
5,3999,Spontaneous,67544,0,-3256
5,4000,Spontaneous,9228,0,-58316
5,4001,Spontaneous,6442,0,-2786
5,4002,Spontaneous,8643,0,2201
5,4003,Spontaneous,14095,0,5452
5,4004,Spontaneous,12238,0,-1857
5,4005,Spontaneous,13011,0,773
5,4006,Spontaneous,15372,0,2361
5,4007,Spontaneous,13731,0,-1641
5,4008,Spontaneous,28134,0,14403
5,4009,Spontaneous,80686,0,52552
5,4010,Spontaneous,14231,0,-66455
5,4011,Spontaneous,17189,0,2958
5,4012,Spontaneous,46208,0,29019
5,4013,Spontaneous,11530,0,-34678
5,4014,Spontaneous,10312,0,-1218
5,4015,Spontaneous,9399,0,-913
5,4016,Spontaneous,9397,0,-2
5,4017,Spontaneous,17658,0,8261
5,4018,Spontaneous,9483,0,-8175
5,4019,Spontaneous,12726,0,3243
5,4020,Spontaneous,17362,0,4636
0,4021,Spontaneous,5950,0,-11412
0,4022,Spontaneous,7132,0,1182
0,4023,Spontaneous,24436,0,17304
0,4024,Spontaneous,14017,0,-10419
0,4025,Spontaneous,8748,0,-5269
0,4026,Spontaneous,102580,0,93832
0,4027,Spontaneous,115106,0,12526
0,4028,Spontaneous,77393,0,-37713
0,4029,Spontaneous,54874,0,-22519
0,4030,Spontaneous,12815,0,-42059
0,4031,Spontaneous,7866,0,-4949
0,4032,Spontaneous,5344,0,-2522
0,4033,Spontaneous,8528,0,3184
0,4034,Spontaneous,7001,0,-1527
0,4035,Spontaneous,10214,0,3213
